sampleId,name,category,calorie,water,protein,fat,carbohydrate,sugars,fiber,calcium,iron,magnesium,phosphorus,potassium,sodium,zinc,copper,manganese,selenium
R0005520ZZ0AVG,코코넛 코코넛밀크,견과류 및 종실류,230,67.62,2.29,23.84,5.54,3.34,2.2,16,1.64,37,100,263,15,0.67,0.266,0.916,6.2
R0030340ZZ0AVG,소고기 한우(1+등급) 앞다리(부채덮개살) 생것,육류,159,70.6,20.7,7.85,0,0,0,3,2.58,18,171,319,57,5.79,0.052,0.013,19.06
R0021760ZZ0AVG,전갱이 삶은것,어패류 및 기타 수산물,151,70.3,22.4,5.9,0.1,0,0,80,0.7,36,250,350,130,1.3,0.07,0.01,64
R0022020ZZ0AVG,조기(참조기) 굴비 소금에 절여 말린것,어패류 및 기타 수산물,328,32.6,44.4,15.2,0.4,0,0,68,14.4,0,560,320,412,0,0,0,0
R0031730ZZ0AVG,양송이버섯 말린것(자연건조),버섯류,166,9.7,40.82,3.52,34.09,0.52,12.6,14,3.72,144,1465,5305,72,7.83,4.829,0.697,140.63
R0024070ZZ0AVG,새우 꽃새우 삶아서 말린것,어패류 및 기타 수산물,306,18,55.5,5.9,4.1,0,0,4068,15.6,0,1156,680,3500,0,0,0,0
R0017180ZZ0AVG,소 부산물 꼬리 생것,육류,246,62.7,17.4,19,0,0,0,22,1.5,0,165,189,42,0,0,0,0
R0014260ZZ0AVG,유자 농축액 당절임,과실류,243,39,0.5,0,60.2,0,0,17,0.5,0,5,129,15,0,0,0,0
R0010910ZZ0AVG,취나물 참취 말린것 삶은것,채소류,55,83.2,3,0.5,12.3,0,11.3,76,4.5,0,25,151,15,0,0,0,0
R0006630ZZ0AVG,김치 백김치,채소류,16,94.5,0.95,0.07,3,1.77,1.9,35,0.24,12,29,187,395,0.23,0.004,0.321,7.5
R0017540ZZ0AVG,송아지 부산물 미국산 간 삶은것,육류,192,59.86,28.42,6.26,3.77,0,0,6,5.11,20,460,329,78,11.23,14.94,0.27,19.3
R0030910ZZ0AVG,잎새버섯 데친것,버섯류,16,92.1,2.26,0.57,4.46,0,4.4,1,0.4,9,76,279,0,0.75,0.328,0.048,1.57
R0000960ZZ0AVG,멥쌀죽 백미,곡류 및 그 제품,71,82.9,1.4,0,15.6,0,0,2,0.7,0,13,6,3,0,0,0,0
